product_id,brand,name,date,rating,advantages,disadvantages,comment
491037254,Welldone,Пользователь предпочёл скрыть свои данные,21 Мая 2023,3.0,vegan look like ordinary cutlet quite tasty stink cooking lot protein,texture strange normal look like lump sharp although may plus reason pour something like juice oil two piece package cool quickly,
491037254,Welldone,Алеся Х.,1 Апреля 2023,5.0,meatfree delicious,high cutlet take time fry core unlike another company,promotion profitable fasting vegetarian tomato sauce delicious
491037254,Welldone,Лилия Ш.,2 Декабря 2022,5.0,delicious cutlet entire nineyear vegetarian lifethey thick large juicy even first afraid meat structure taste similar general recommend,none everything perfect,made burger oh used restaurant would become richer
491037254,Welldone,Анна Р.,15 Мая 2023,5.0,good nt look much like meat look like,frostbitten one came lot fat frying although good leaked frying pan,
491037254,Welldone,Руссо Оксана,27 Марта 2023,3.0,cool trend towards vegan food,tasty,chicken cutlet like taste plus turned salty good package small trial nt think look like chicken nt remember like even without thinking look like still taste wrong unpleasant read completely
491037254,Welldone,Алина В.,22 Октября 2022,5.0,excellent cutlet mom vegan love much,,
491037254,Welldone,Пользователь предпочёл скрыть свои данные,24 Апреля 2023,3.0,nt know,lying couch suddenly decided become vegan well try change mind right away filth rare,
491037254,Welldone,Павел Р.,25 Апреля 2023,4.0,juicy taste cutlet appearance,seemed lot salt,general good hearty lunch
491037254,Welldone,Ольга П.,14 Мая 2023,5.0,delicious cutlet,,
491037254,Welldone,Луиза Т.,27 Марта 2023,5.0,delicious hearty cutlet even meateating grandmother liked nt need knife break readymade cutlet fork,,take thank good food meat
491037254,Welldone,Пользователь предпочёл скрыть свои данные,9 Апреля 2023,5.0,delicious pity enough,,graininess unsalted balanced pepper eat
491037254,Welldone,Галина,28 Марта 2023,5.0,delicious healthy,little expensive maybe,post helpful grilling husband really came
491037254,Welldone,Юлия Д.,4 Сентября 2022,4.0,taste balanced rich,,
491037254,Welldone,Айгуль Б.,10 Мая 2023,5.0,tasty,,
491037254,Welldone,Вероника Б.,10 Мая 2023,1.0,,,
491037254,Welldone,Пользователь предпочёл скрыть свои данные,изменен 2 Марта 2023,3.0,,,
491037254,Welldone,Пользователь предпочёл скрыть свои данные,23 Марта 2023,5.0,convenient urgently need snack,,different real meat delicious
491037254,Welldone,Елена М.,12 Апреля 2023,5.0,juicy delicious,pc,
491037254,Welldone,Ирина Н.,12 Апреля 2023,5.0,delicious,,recommend
491037254,Welldone,Кузьмина Е.,2 Апреля 2023,5.0,fast convenient post,,
491037254,Welldone,Пользователь предпочёл скрыть свои данные,10 Апреля 2023,4.0,,,
491037254,Welldone,Юлия Д.,30 Марта 2023,5.0,tasty cutlet,,
491037254,Welldone,Пользователь предпочёл скрыть свои данные,10 Марта 2023,5.0,easy cook delicious,,
491037254,Welldone,Вячеслав М.,27 Мая 2023,5.0,,,
491037254,Welldone,Наталья Х.,1 Ноября 2022,5.0,,,tasty cook quickly without oil juicy even nonvegans like rec
491037254,Welldone,Камилла Г.,2 Декабря 2022,5.0,veusnye,piece,often buy vegan
491037254,Welldone,may b.,23 Января 2023,5.0,tasty perfect burger,,
491037254,Welldone,Юлия И.,16 Декабря 2022,5.0,tasty,,advise gentle
491037254,Welldone,Алена К.,23 Декабря 2022,5.0,,,
491037254,Welldone,Екатерина П.,15 Ноября 2022,5.0,,,
491037254,Welldone,Елена Б.,20 Декабря 2022,5.0,delicious cutlet,,
491037254,Welldone,Денис И.,7 Декабря 2022,5.0,delicious,,
491037254,Welldone,Natalia D.,17 Августа 2022,3.0,,tasty smell,
491037254,Welldone,Карнаушенко А.,31 Августа 2022,5.0,tasty,,
491037254,Welldone,Dmitry G.,13 Ноября 2022,5.0,delicious,,
491037254,Welldone,Кристина К.,25 Мая 2023,5.0,,,
491037254,Welldone,Дмитрий Д.,11 Мая 2023,4.0,,,
491037254,Welldone,оксана к.,11 Мая 2023,5.0,,,
491037254,Welldone,Юлия К.,10 Мая 2023,5.0,,,
491037254,Welldone,Елена М.,7 Мая 2023,5.0,,,
491037254,Welldone,Анна А.,26 Апреля 2023,5.0,,,
491037254,Welldone,Олег Б.,26 Апреля 2023,5.0,,,
491037254,Welldone,Jene J.,25 Апреля 2023,5.0,,,
491037254,Welldone,Елена М.,24 Апреля 2023,5.0,,,
491037254,Welldone,елена а.,21 Апреля 2023,5.0,,,
491037254,Welldone,Лия С.,20 Апреля 2023,4.0,,,
491037254,Welldone,Ольга Я.,18 Апреля 2023,5.0,,,
491037254,Welldone,Ева К.,17 Апреля 2023,5.0,,,
491037254,Welldone,Татьяна Р.,16 Апреля 2023,5.0,,,
491037254,Welldone,Кристина Г.,14 Апреля 2023,5.0,,,
491037254,Welldone,Диана С.,12 Апреля 2023,5.0,,,
491037254,Welldone,Елена,10 Апреля 2023,5.0,,,
491037254,Welldone,Александра А.,6 Апреля 2023,5.0,,,
491037254,Welldone,Сыроватская М.,3 Апреля 2023,5.0,,,
491037254,Welldone,Николай П.,2 Апреля 2023,4.0,,,
491037254,Welldone,Александр Д.,2 Апреля 2023,5.0,,,
491037254,Welldone,Луиза Ф.,27 Марта 2023,5.0,,,
491037254,Welldone,svetlana k.,26 Марта 2023,5.0,,,
491037254,Welldone,Дарья А.,25 Марта 2023,5.0,,,
491037254,Welldone,Станислав Ш.,19 Марта 2023,5.0,,,
491037254,Welldone,Ирина К.,18 Марта 2023,5.0,,,
491037254,Welldone,Маргарита В.,16 Марта 2023,5.0,,,
491037254,Welldone,Евгения М.,16 Марта 2023,5.0,,,
