,anger,disgust,fear,joy,neutral,sadness,surprise
0,0.014914104714989662,0.0021488224156200886,0.02086613141000271,0.8876163959503174,0.027639314532279968,0.01536682341247797,0.031448397785425186
1,0.008205591700971127,0.004917201120406389,0.008617140352725983,0.8933666944503784,0.06269612908363342,0.005673455074429512,0.016523895785212517
2,0.05346136912703514,0.08101531863212585,0.08378758281469345,0.02433975599706173,0.6899920105934143,0.04235159978270531,0.025052422657608986
3,0.013426331803202629,0.08986122906208038,0.011939936317503452,0.5909909605979919,0.27662932872772217,0.005889128893613815,0.011263115331530571
4,0.09650816768407822,0.5594727396965027,0.15486092865467072,0.020562736317515373,0.06053641811013222,0.10314150899648666,0.004917515441775322
5,0.09306240826845169,0.04964156448841095,0.7082684636116028,0.021410461515188217,0.04992206022143364,0.07001827657222748,0.007676755543798208
6,0.005173982586711645,0.007876357063651085,0.007566146552562714,0.9279422163963318,0.04268563538789749,0.005113054532557726,0.003642565105110407
7,0.6868657469749451,0.16012834012508392,0.07669639587402344,0.0014038147637620568,0.020348045974969864,0.04352499172091484,0.011032664217054844
8,0.008778635412454605,0.01929306425154209,0.0022595918271690607,0.9061567187309265,0.0571303516626358,0.0037148434203118086,0.0026667253114283085
9,0.009661062620580196,0.011791760101914406,0.01968562602996826,0.8871232271194458,0.05619128420948982,0.005444504786282778,0.010102479718625546
10,0.0015441558789461851,0.0009714560583233833,0.0005843253456987441,0.9249904751777649,0.03025825507938862,0.00855225883424282,0.03309906646609306
11,0.017535192891955376,0.0075241271406412125,0.026979470625519753,0.896838366985321,0.01690172404050827,0.02774101495742798,0.006479964125901461
12,0.004502336960285902,0.006246642209589481,0.0076243216171860695,0.9524655342102051,0.020977206528186798,0.005087752360850573,0.003096235217526555
13,0.06221029907464981,0.13574665784835815,0.42853662371635437,0.058214835822582245,0.07586995512247086,0.2302474081516266,0.009174184873700142
14,0.03450916334986687,0.1896071434020996,0.023705819621682167,0.5195109844207764,0.1801285445690155,0.04362310841679573,0.008915271610021591
15,0.0371268130838871,0.009394909255206585,0.123890720307827,0.470511257648468,0.22438398003578186,0.020859939977526665,0.11383235454559326
16,0.0032928481232374907,0.004854890983551741,0.0023517219815403223,0.9725638031959534,0.013158842921257019,0.0019672135822474957,0.0018107271753251553
17,0.2151922732591629,0.06060720980167389,0.4683293104171753,0.04343680664896965,0.02391192689538002,0.17587992548942566,0.01264253631234169
18,0.010575337335467339,0.003213559277355671,0.009795738384127617,0.9178492426872253,0.03636578842997551,0.017702434211969376,0.004497860092669725
19,0.039837565273046494,0.08982142806053162,0.020405255258083344,0.038978833705186844,0.7834497690200806,0.017897360026836395,0.009609779343008995
20,0.03338621184229851,0.01743238978087902,0.03384802117943764,0.8510278463363647,0.04621511697769165,0.005789541639387608,0.012300798669457436
21,0.007291019428521395,0.005338610615581274,0.0072657219134271145,0.9476429224014282,0.02283255197107792,0.0030352273024618626,0.006593901198357344
22,0.013463190756738186,0.020090118050575256,0.026996638625860214,0.8542264699935913,0.06421193480491638,0.009948703460395336,0.01106301136314869
23,0.01079991739243269,0.008360018953680992,0.020140301436185837,0.8715358376502991,0.04237565025687218,0.008800951763987541,0.0379873663187027
24,0.023951783776283264,0.024945233017206192,0.07867103070020676,0.7898052334785461,0.05578149855136871,0.014795821160078049,0.01204948965460062
25,0.01574750803411007,0.00230167037807405,0.013565927743911743,0.8775381445884705,0.026999209076166153,0.0032237577252089977,0.06062382832169533
26,0.09306240826845169,0.04964156448841095,0.7082684636116028,0.021410461515188217,0.04992206022143364,0.07001827657222748,0.007676755543798208
27,0.09306240826845169,0.04964156448841095,0.7082684636116028,0.021410461515188217,0.04992206022143364,0.07001827657222748,0.007676755543798208
