product_id,brand,name,date,rating,advantages,disadvantages,comment,all_reviews,BERT_emotions,BERT_sentiments,anger,disgust,fear,joy,neutral,sadness,surprise
491037254,Welldone,Пользователь предпочёл скрыть свои данные,21 Мая 2023,3.0,"vegan, they look like ordinary cutlets, are quite tasty, do not stink when cooking, a lot of protein.","the texture is very strange – that is, normal, but it looks like lumps, sharp (although for some it may be a plus), for some reason they pour something like juice (oil???), there are only two pieces in the package, they cool down quickly. ",,"vegan, they look like ordinary cutlets, are quite tasty, do not stink when cooking, a lot of protein. the texture is very strange – that is, normal, but it looks like lumps, sharp (although for some it may be a plus), for some reason they pour something like juice (oil???), there are only two pieces in the package, they cool down quickly.  ","[[{'label': 'anger', 'score': 0.01505639310926199}, {'label': 'disgust', 'score': 0.5059072971343994}, {'label': 'fear', 'score': 0.014897391200065613}, {'label': 'joy', 'score': 0.022861279547214508}, {'label': 'neutral', 'score': 0.41325289011001587}, {'label': 'sadness', 'score': 0.009181126952171326}, {'label': 'surprise', 'score': 0.018843593075871468}]]",NEGATIVE,0.01505639310926199,0.5059072971343994,0.014897391200065613,0.022861279547214508,0.41325289011001587,0.009181126952171326,0.018843593075871468
491037254,Welldone,Алеся Х.,1 Апреля 2023,5.0,"Meat-free, delicious ","A high cutlet, it takes time to fry the core, unlike another company ","The promotion is profitable, for fasting or vegetarians, with tomato sauce is delicious ","Meat-free, delicious  A high cutlet, it takes time to fry the core, unlike another company  The promotion is profitable, for fasting or vegetarians, with tomato sauce is delicious ","[[{'label': 'anger', 'score': 0.00917314738035202}, {'label': 'disgust', 'score': 0.03948816657066345}, {'label': 'fear', 'score': 0.005702683702111244}, {'label': 'joy', 'score': 0.8238974213600159}, {'label': 'neutral', 'score': 0.11048806458711624}, {'label': 'sadness', 'score': 0.005977902095764875}, {'label': 'surprise', 'score': 0.005272621288895607}]]",POSITIVE,0.00917314738035202,0.03948816657066345,0.005702683702111244,0.8238974213600159,0.11048806458711624,0.005977902095764875,0.005272621288895607
491037254,Welldone,Лилия Ш.,2 Декабря 2022,5.0,"these are the most delicious cutlets in my entire nine-year vegetarian life😍😍😍They are thick, large and very juicy, even at first I was afraid if there was no meat there, because the structure and taste are very similar, in general I recommend 😋👍 ","there are none, everything is perfect ","I made burgers with them, oh, if they used this in restaurants, they would become richer😄 ","these are the most delicious cutlets in my entire nine-year vegetarian life😍😍😍They are thick, large and very juicy, even at first I was afraid if there was no meat there, because the structure and taste are very similar, in general I recommend 😋👍  there are none, everything is perfect  I made burgers with them, oh, if they used this in restaurants, they would become richer😄 ","[[{'label': 'anger', 'score': 0.0062622553668916225}, {'label': 'disgust', 'score': 0.002204930642619729}, {'label': 'fear', 'score': 0.9256778955459595}, {'label': 'joy', 'score': 0.043393366038799286}, {'label': 'neutral', 'score': 0.01595381088554859}, {'label': 'sadness', 'score': 0.0032257481943815947}, {'label': 'surprise', 'score': 0.0032820492051541805}]]",POSITIVE,0.0062622553668916225,0.002204930642619729,0.9256778955459595,0.043393366038799286,0.01595381088554859,0.0032257481943815947,0.0032820492051541805
491037254,Welldone,Анна Р.,15 Мая 2023,5.0,"It's good that it doesn't look much like meat, but it looks like  ",The frostbitten ones came. A lot of fat after frying. Although it's good that some of it leaked into the frying pan  ,,"It's good that it doesn't look much like meat, but it looks like   The frostbitten ones came. A lot of fat after frying. Although it's good that some of it leaked into the frying pan   ","[[{'label': 'anger', 'score': 0.03363960608839989}, {'label': 'disgust', 'score': 0.2144012153148651}, {'label': 'fear', 'score': 0.026732591912150383}, {'label': 'joy', 'score': 0.2692013084888458}, {'label': 'neutral', 'score': 0.3987574577331543}, {'label': 'sadness', 'score': 0.03802383318543434}, {'label': 'surprise', 'score': 0.0192439965903759}]]",NEGATIVE,0.03363960608839989,0.2144012153148651,0.026732591912150383,0.2692013084888458,0.3987574577331543,0.03802383318543434,0.0192439965903759
491037254,Welldone,Руссо Оксана,27 Марта 2023,3.0,It's cool that there is a trend towards vegan food ,not tasty ,"chicken cutlets did not like the taste at all, plus, they turned out to be too salty. It's good that the package is small - just for trial. I don't think it looks like chicken (I don't remember it like that), but even without thinking about what it should look like, it still tastes wrong, unpleasant...  Read completely","It's cool that there is a trend towards vegan food  not tasty  chicken cutlets did not like the taste at all, plus, they turned out to be too salty. It's good that the package is small - just for trial. I don't think it looks like chicken (I don't remember it like that), but even without thinking about what it should look like, it still tastes wrong, unpleasant...  Read completely","[[{'label': 'anger', 'score': 0.004110533744096756}, {'label': 'disgust', 'score': 0.10421058535575867}, {'label': 'fear', 'score': 0.009295172989368439}, {'label': 'joy', 'score': 0.11648394912481308}, {'label': 'neutral', 'score': 0.08254699409008026}, {'label': 'sadness', 'score': 0.6649404168128967}, {'label': 'surprise', 'score': 0.01841239258646965}]]",NEGATIVE,0.004110533744096756,0.10421058535575867,0.009295172989368439,0.11648394912481308,0.08254699409008026,0.6649404168128967,0.01841239258646965
491037254,Welldone,Алина В.,22 Октября 2022,5.0,"excellent cutlets. my mom is not a vegan, but she loves them very much ",,,"excellent cutlets. my mom is not a vegan, but she loves them very much   ","[[{'label': 'anger', 'score': 0.01023351214826107}, {'label': 'disgust', 'score': 0.004357975907623768}, {'label': 'fear', 'score': 0.008448688313364983}, {'label': 'joy', 'score': 0.949381411075592}, {'label': 'neutral', 'score': 0.014353800565004349}, {'label': 'sadness', 'score': 0.010813077911734581}, {'label': 'surprise', 'score': 0.0024115911219269037}]]",POSITIVE,0.01023351214826107,0.004357975907623768,0.008448688313364983,0.949381411075592,0.014353800565004349,0.010813077911734581,0.0024115911219269037
491037254,Welldone,Пользователь предпочёл скрыть свои данные,24 Апреля 2023,3.0,"I don't know, not for me ","If you're lying on the couch, suddenly decided to become a vegan😂 Well, or just try it. Change your mind right away! The filth is rare ",,"I don't know, not for me  If you're lying on the couch, suddenly decided to become a vegan😂 Well, or just try it. Change your mind right away! The filth is rare  ","[[{'label': 'anger', 'score': 0.2587044835090637}, {'label': 'disgust', 'score': 0.6383284330368042}, {'label': 'fear', 'score': 0.06726402789354324}, {'label': 'joy', 'score': 0.002597095211967826}, {'label': 'neutral', 'score': 0.0159982331097126}, {'label': 'sadness', 'score': 0.007689598016440868}, {'label': 'surprise', 'score': 0.009418083354830742}]]",NEGATIVE,0.2587044835090637,0.6383284330368042,0.06726402789354324,0.002597095211967826,0.0159982331097126,0.007689598016440868,0.009418083354830742
491037254,Welldone,Павел Р.,25 Апреля 2023,4.0,"Juicy, the taste of the cutlet itself, the appearance ",it seemed that there was a lot of salt in them ,"In general, it's very good for a hearty lunch) ","Juicy, the taste of the cutlet itself, the appearance  it seemed that there was a lot of salt in them  In general, it's very good for a hearty lunch) ","[[{'label': 'anger', 'score': 0.0016202345723286271}, {'label': 'disgust', 'score': 0.004400310106575489}, {'label': 'fear', 'score': 0.0012525140773504972}, {'label': 'joy', 'score': 0.9759107828140259}, {'label': 'neutral', 'score': 0.011803420260548592}, {'label': 'sadness', 'score': 0.0035597942769527435}, {'label': 'surprise', 'score': 0.001452979864552617}]]",POSITIVE,0.0016202345723286271,0.004400310106575489,0.0012525140773504972,0.9759107828140259,0.011803420260548592,0.0035597942769527435,0.001452979864552617
491037254,Welldone,Ольга П.,14 Мая 2023,5.0,Delicious cutlets)) ,No  ,,Delicious cutlets))  No   ,"[[{'label': 'anger', 'score': 0.02392396330833435}, {'label': 'disgust', 'score': 0.01143092941492796}, {'label': 'fear', 'score': 0.08160386979579926}, {'label': 'joy', 'score': 0.7072159647941589}, {'label': 'neutral', 'score': 0.1323680430650711}, {'label': 'sadness', 'score': 0.020022563636302948}, {'label': 'surprise', 'score': 0.023434676229953766}]]",POSITIVE,0.02392396330833435,0.01143092941492796,0.08160386979579926,0.7072159647941589,0.1323680430650711,0.020022563636302948,0.023434676229953766
491037254,Welldone,Луиза Т.,27 Марта 2023,5.0,"delicious, hearty cutlet. even my meat-eating grandmother liked it. you don't need a knife, you can break off a ready-made cutlet with a fork  ",,"we'll take more. thank you for the good food, meat ","delicious, hearty cutlet. even my meat-eating grandmother liked it. you don't need a knife, you can break off a ready-made cutlet with a fork    we'll take more. thank you for the good food, meat ","[[{'label': 'anger', 'score': 0.007988587953150272}, {'label': 'disgust', 'score': 0.002977534430101514}, {'label': 'fear', 'score': 0.0036781076341867447}, {'label': 'joy', 'score': 0.9464120268821716}, {'label': 'neutral', 'score': 0.032831884920597076}, {'label': 'sadness', 'score': 0.00297565502114594}, {'label': 'surprise', 'score': 0.003136317478492856}]]",POSITIVE,0.007988587953150272,0.002977534430101514,0.0036781076341867447,0.9464120268821716,0.032831884920597076,0.00297565502114594,0.003136317478492856
